file_name,absolute_path,size_bytes,size_MB,last_modified_local,sha256
Food Access Research Atlas.csv,C:\Users\rjy\Desktop\IS-477-Team-Project\Food Access Research Atlas.csv,47053488,44.87,2021-04-21T16:18:39,00a721633e5ab59f123273ca7d2d10fa191641631bf67884486e088b6b25d2ee
PLACES_Better_Health_County_Data.csv,C:\Users\rjy\Desktop\IS-477-Team-Project\PLACES_Better_Health_County_Data.csv,53180359,50.72,2025-11-13T10:48:49,5ff00ee82b4895273ab55a855300029ceaaa3be2286e41cbee0c4beed3a14a7f
