county_fips,TractLOWI,TractHUNV,TractSNAP,LAPOP1_10,LAPOP1_20,state_abbr,state_name,DIABETES,OBESITY
01123,17530.0,1477.0,3312.0,3099.0,872.0,AL,Alabama,14.15,41.2
01125,70697.0,4166.0,7255.0,41787.0,38521.0,AL,Alabama,12.350000000000001,40.85
01127,27048.0,1434.0,4050.0,5793.0,5626.0,AL,Alabama,12.65,38.05
01129,7417.0,221.0,980.0,1966.0,0.0,AL,Alabama,15.05,41.75
01131,5842.0,612.0,931.0,4897.0,5.0,AL,Alabama,20.0,48.2
01133,10985.0,666.0,1337.0,1033.0,0.0,AL,Alabama,13.2,39.150000000000006
02013,1197.0,198.0,111.0,1226.0,1119.0,AK,Alaska,12.85,31.700000000000003
02016,1535.0,193.0,70.0,1190.0,1185.0,AK,Alaska,10.850000000000001,30.950000000000003
02020,61216.0,6206.0,9280.0,82856.0,82264.0,AK,Alaska,7.85,32.95
02050,9730.0,2573.0,1796.0,11678.0,10058.0,AK,Alaska,15.350000000000001,42.95
02060,179.0,33.0,19.0,561.0,7.0,AK,Alaska,9.649999999999999,36.0
02068,805.0,21.0,36.0,1826.0,1822.0,AK,Alaska,8.600000000000001,28.15
02070,2211.0,544.0,375.0,2462.0,1730.0,AK,Alaska,13.4,40.650000000000006
02090,21665.0,1560.0,2529.0,37788.0,37058.0,AK,Alaska,7.7,33.55
02100,646.0,73.0,79.0,519.0,434.0,AK,Alaska,10.45,32.65
02105,678.0,241.0,112.0,2137.0,2047.0,AK,Alaska,12.0,38.900000000000006
02110,5085.0,1127.0,1030.0,6475.0,6348.0,AK,Alaska,7.65,31.15
02122,16596.0,1435.0,2090.0,13103.0,5876.0,AK,Alaska,9.0,31.6
02130,3461.0,601.0,787.0,216.0,201.0,AK,Alaska,9.15,33.45
02150,3544.0,411.0,403.0,5801.0,4812.0,AK,Alaska,8.95,30.1
02158,0.0,0.0,0.0,0.0,0.0,AK,Alaska,18.450000000000003,48.45
02164,568.0,201.0,102.0,1631.0,1630.0,AK,Alaska,12.6,39.95
02170,24599.0,1010.0,3178.0,25703.0,21618.0,AK,Alaska,8.0,35.5
02180,4585.0,1639.0,914.0,2196.0,2178.0,AK,Alaska,13.350000000000001,40.7
02185,2499.0,751.0,343.0,3575.0,3469.0,AK,Alaska,10.5,37.0
02188,3799.0,1222.0,641.0,3473.0,2793.0,AK,Alaska,13.6,40.7
02195,692.0,185.0,130.0,168.0,58.0,AK,Alaska,8.85,30.85
02198,2262.0,255.0,414.0,1262.0,1043.0,AK,Alaska,12.350000000000001,39.400000000000006
02220,1754.0,476.0,296.0,3066.0,3066.0,AK,Alaska,8.8,31.9
02230,185.0,31.0,11.0,3.0,0.0,AK,Alaska,7.95,33.65
02240,1921.0,114.0,191.0,2090.0,1189.0,AK,Alaska,9.15,34.3
02275,787.0,148.0,148.0,506.0,161.0,AK,Alaska,10.95,33.650000000000006
02282,256.0,21.0,20.0,2.0,0.0,AK,Alaska,11.35,36.1
02290,2614.0,985.0,607.0,5005.0,5005.0,AK,Alaska,14.45,37.45
04001,42944.0,2460.0,5226.0,39133.0,19401.0,AZ,Arizona,16.5,37.55
04003,47428.0,2733.0,7995.0,57659.0,45303.0,AZ,Arizona,10.95,33.9
04005,49457.0,2368.0,5496.0,43627.0,37898.0,AZ,Arizona,9.25,25.5
04007,24058.0,1277.0,3712.0,15131.0,10459.0,AZ,Arizona,11.9,36.25
04009,13824.0,630.0,1847.0,14756.0,13423.0,AZ,Arizona,11.100000000000001,36.099999999999994
04011,3181.0,92.0,246.0,2777.0,1718.0,AZ,Arizona,9.85,31.1
04012,10414.0,617.0,1297.0,10938.0,8398.0,AZ,Arizona,14.0,33.95
04013,1382179.0,93549.0,154166.0,794960.0,774945.0,AZ,Arizona,9.95,30.85
04015,86606.0,4551.0,12982.0,91819.0,77512.0,AZ,Arizona,12.399999999999999,35.400000000000006
04017,55882.0,3334.0,7990.0,47861.0,31279.0,AZ,Arizona,14.100000000000001,38.1
04019,381408.0,33547.0,54363.0,280815.0,266003.0,AZ,Arizona,9.8,32.35
04021,139151.0,5973.0,16169.0,171859.0,160008.0,AZ,Arizona,11.1,37.35
04023,25061.0,805.0,4208.0,17205.0,15035.0,AZ,Arizona,14.0,35.2
